,Experiment,Time,Species,Gm,Drought,Nutrient_Deficiency,Fs,Salinity,Photo,Ci,Cond,CTleaf,Trmmol,WUEi,WUEin,Fv_Fm,Fv_Fo,PI,SLA,LWC,Suc,OP,OP100,RWC,WP,N,C,Neoxanthin,Violaxanthin,Lutein,Zeaxanthin,Chl_b,Chl_a,B_carotene,Glucose,Fructose,Sucrose,Sugars,Starch,Ellagic,Gal,Rut,CTs
289,2018_Martell,2,Black Walnut,0,1,1,0,0,1.347269637,341.5531373,0.054480399,34.06396871,0.8303191,1.934420667,20.56845637,0.74519299,2.620261761,0.936855123,305.7268452,63.09395145,2.745535084,1.684136066,1.38025114,84.45641429,1.794935096,1.466737953,45.08882114,40.15172992,1.604656363,276.7994045,51.21833628,284.3000605,81.51636804,80.39998292,5.926053537,3.445988183,1.880101213,10.81182801,1.295362145,294.1289415,78.91179609,31.1520828,17.36893217
290,2018_Martell,2,Black Walnut,0,0,1,0,0,5.38683826,335.1164651,0.126330477,33.53553391,1.164978115,2.680643981,26.91328281,0.769357509,3.534001392,1.130194083,428.8864575,69.25896811,3.327535644,1.51777357,1.24243957,85.38329654,1.550860679,2.311409829,43.6172112,48.6126331,2.46027435,649.7704738,23.23134095,1007.843259,1045.142036,168.4107321,4.688859927,4.780884155,2.371848008,10.16018255,3.331608622,140.8075643,92.22807992,10.94274332,10.7835716
291,2018_Martell,2,Black Walnut,0,0,1,0,0,6.256197476,315.9185533,0.108687833,32.74908955,2.027460855,2.705603914,35.81740716,0.774663781,3.471010323,1.274026791,275.9424365,66.37416452,3.03163745,1.35124323,1.419556992,88.05331238,1.267213927,1.87393393,43.94543798,58.4090267,3.072575024,388.6325075,40.35733626,512.5335793,745.6044515,157.4285548,4.900715013,3.874159364,1.791002673,8.655611601,1.481262659,252.7322466,110.1952186,22.94651069,17.5721299
294,2018_Martell,2,Black Walnut,0,0,1,0,0,6.928201058,296.2757268,0.095048702,32.4582527,1.948180723,2.909166791,48.48638339,0.786064385,3.715555218,1.565265512,279.4019134,67.00055204,3.141070216,1.367271735,1.174613286,88.19289246,1.274896819,2.356226801,43.65788987,58.79763744,3.374518875,544.499464,47.94670731,728.4862606,964.4091544,191.1169037,5.002435801,4.791207786,1.7644242,10.37027347,1.789912638,195.8140779,121.0504896,19.60160374,13.80288737
295,2018_Martell,2,Black Walnut,0,0,1,0,0,6.000912376,305.7604769,0.100090376,32.15144236,1.067990197,3.548403028,44.21655706,0.792795855,3.883723627,1.731600505,299.5477151,68.95700015,3.299330226,1.674342241,1.63839154,87.8586842,1.121285899,3.25653299,43.13212283,54.47283154,3.122184911,668.9604519,62.2966987,805.3194049,1190.489566,215.1725304,4.186043489,4.769473136,2.286487524,11.09037591,1.339273006,138.6295799,127.866327,23.85216386,8.813852627
297,2018_Martell,2,Black Walnut,0,0,1,0,0,4.070810991,304.6043755,0.096208103,32.628508,1.449697015,1.702107208,43.68007149,0.779146368,3.749995299,1.458847192,310.2299533,66.93066557,3.091624377,1.371172748,1.337566092,86.6365011,1.291049157,2.260040172,43.90427699,50.34086996,2.888087592,566.182003,51.51361279,685.3699332,811.7672042,170.9017423,5.99916853,4.691357107,2.25848167,10.57046765,3.028127148,146.5980786,125.5650213,18.36809866,13.28586041
298,2018_Martell,2,Black Walnut,0,1,1,0,0,3.561834121,356.4561523,0.02506189,34.53531058,1.142923527,1.811306672,6.543912259,0.744227999,2.638662023,1.083357061,366.0159081,70.6056808,3.373560931,1.671152277,1.733107963,87.25466163,1.453267714,1.844911063,44.4242098,45.47882718,1.070685864,437.4929762,71.96190517,249.172889,593.1813235,114.4060825,6.68095138,3.350983213,2.318349696,12.34961767,1.984804728,120.2560577,78.11560854,20.32003187,12.51471536
299,2018_Martell,2,Black Walnut,0,0,1,0,0,5.097850491,326.3243013,0.07879694,34.96897099,1.57512058,1.691476038,31.740406,0.756098024,3.129636873,0.970750692,422.9165074,67.70722751,3.178082525,1.447642962,1.354049057,85.34386084,1.365522516,2.135767968,44.18127827,65.26415858,2.532220645,606.7157727,32.99643505,905.2723095,1087.881382,158.8985279,5.668334816,4.480003851,1.632591232,12.72513493,4.740663417,79.17096564,70.37806159,8.04360035,10.47470731
300,2018_Martell,2,Black Walnut,0,0,1,0,0,8.037497152,315.5121292,0.111044479,32.40585695,2.47469003,2.225061959,32.1250457,0.782801672,3.578118891,1.527745181,299.9560654,66.24288512,3.033058842,1.434880922,1.367606874,87.08097807,1.550821312,2.560164106,43.95875894,65.32619456,3.317330561,583.7971807,41.64990207,704.1095342,1113.943105,167.4895612,5.98122981,4.717956161,2.139276877,12.22923319,3.12814091,279.9073726,117.9706628,18.29278299,12.38735693
301,2018_Martell,2,Black Walnut,0,1,1,0,0,2.224181958,316.5480451,0.05076183,32.46517473,0.676787695,2.459224237,34.46949682,0.760458518,3.290317021,1.216456846,337.562488,67.99889956,3.097740965,1.893592031,1.610836027,87.47612479,1.733838437,2.455138896,44.06493779,52.8127538,3.199211805,558.1387147,83.08433465,623.4961593,962.8380589,191.494477,5.663263833,4.808494526,2.480395491,11.21733246,2.441705763,129.2646349,92.10675413,18.16381793,11.49488048
302,2018_Martell,2,Black Walnut,0,1,0,0,0,3.99966264,329.9627721,0.066110303,32.71574513,0.616940344,2.76031523,35.8804031,0.769453726,3.6203457,1.361472964,294.3900838,66.95293445,2.993846323,2.314905904,2.085216065,85.89876427,1.638691662,2.863896878,44.39241377,52.32624518,3.442601172,532.6265621,55.34444289,445.7337861,574.8328077,174.762195,5.335516514,4.681996067,1.772459061,11.34702215,1.21599382,4.473599173,77.92574513,23.03077222,10.47430982
303,2018_Martell,2,Black Walnut,0,0,0,0,0,2.330198282,307.4691659,0.076868931,33.29910116,0.695854444,2.630489219,47.58793882,0.7824361,3.633240942,1.315483064,248.6389579,62.3272502,2.736908627,1.75274187,1.497663492,85.449009,1.099034819,1.798571539,44.52389019,60.68171219,2.895646645,283.9861735,43.96560124,444.4590641,46.37827494,128.9600231,5.407510964,3.26531654,2.14709923,10.23131551,1.437419601,119.6856072,119.0000297,21.12628235,17.775878
304,2018_Martell,2,Black Walnut,0,1,0,0,0,0.951054515,314.6423012,0.03797284,32.61731137,0.131891962,3.876182164,32.46197588,0.746586372,3.568092126,1.217127569,313.6642041,62.85359023,2.695658673,2.239601518,1.522480209,85.73090572,1.81007018,2.970860125,43.84909323,42.13127386,2.739429959,617.4970145,79.65620291,897.620008,1117.154688,212.3049705,5.698239063,5.045121111,1.51095096,11.47931503,1.770701578,147.53899,122.4340051,17.89823742,12.11896287
305,2018_Martell,2,Black Walnut,0,1,1,0,0,2.001718467,305.0343893,0.070261246,32.36247635,0.227718528,3.231296042,42.41442772,0.781092917,3.714722585,1.425176558,224.8527193,60.7296604,2.4148011,2.257217172,1.644933059,87.29030314,1.809644886,2.121098527,45.89846293,54.10716916,3.310032326,453.5051231,63.34376973,397.8669934,390.5255427,185.6409358,5.490601727,4.391490277,1.614176365,9.229869519,0.685178622,198.2208819,84.24408864,21.33830806,15.79855214
